Topology,Protocol,Mean_ms,Median_ms,Min_ms,Max_ms,StdDev_ms,P95_ms,P99_ms,CI_Lower,CI_Upper
topo01,Classic NTOR,2.48,2.48,2.46,2.48,0.01,2.48,2.48,2.47,2.48
topo01,PQ-NTOR,0.98,0.97,0.96,1.06,0.03,1.06,1.06,0.97,0.99
topo02,Classic NTOR,2.47,2.48,2.46,2.48,0.01,2.48,2.48,2.47,2.48
topo02,PQ-NTOR,0.97,0.96,0.96,1.05,0.02,1.05,1.05,0.96,0.98
topo03,Classic NTOR,2.47,2.48,2.46,2.48,0.01,2.48,2.48,2.47,2.48
topo03,PQ-NTOR,0.99,0.97,0.96,1.11,0.04,1.11,1.11,0.97,1.00
topo04,Classic NTOR,2.48,2.48,2.46,2.52,0.01,2.52,2.52,2.47,2.48
topo04,PQ-NTOR,0.97,0.97,0.96,1.06,0.02,1.06,1.06,0.96,0.99
topo05,Classic NTOR,2.48,2.48,2.46,2.49,0.01,2.49,2.49,2.47,2.48
topo05,PQ-NTOR,0.98,0.97,0.96,1.13,0.04,1.13,1.13,0.97,1.00
topo06,Classic NTOR,2.48,2.48,2.47,2.49,0.01,2.49,2.49,2.47,2.48
topo06,PQ-NTOR,0.98,0.97,0.96,1.09,0.03,1.09,1.09,0.96,0.99
topo07,Classic NTOR,2.38,2.48,1.44,2.54,0.30,2.54,2.54,2.25,2.51
topo07,PQ-NTOR,0.66,0.67,0.58,0.76,0.04,0.76,0.76,0.64,0.68
topo08,Classic NTOR,1.56,1.58,1.41,1.69,0.06,1.69,1.69,1.53,1.58
topo08,PQ-NTOR,0.67,0.66,0.58,0.74,0.03,0.74,0.74,0.65,0.68
topo09,Classic NTOR,1.54,1.57,1.41,1.60,0.05,1.60,1.60,1.52,1.57
topo09,PQ-NTOR,0.66,0.66,0.58,0.69,0.03,0.69,0.69,0.65,0.67
topo10,Classic NTOR,1.52,1.49,1.48,1.59,0.05,1.59,1.59,1.50,1.54
topo10,PQ-NTOR,0.66,0.66,0.58,0.69,0.02,0.69,0.69,0.65,0.67
topo11,Classic NTOR,1.54,1.56,1.48,1.60,0.04,1.60,1.60,1.52,1.56
topo11,PQ-NTOR,0.66,0.67,0.58,0.69,0.03,0.69,0.69,0.65,0.67
topo12,Classic NTOR,1.52,1.49,1.40,1.61,0.05,1.61,1.61,1.50,1.54
topo12,PQ-NTOR,0.66,0.66,0.58,0.68,0.02,0.68,0.68,0.65,0.67
