Topology,Protocol,Description,Bandwidth_Mbps,Link_Delay_ms,Loss_Percent,Crypto_CBT_ms,Network_Delay_ms,Transmission_Delay_ms,Retransmission_Delay_ms,Total_CBT_ms,Network_Ratio
topo01,Classic NTOR,LEO-GW (高带宽/低延迟),59.27,5.42,3.0,1.53,16.32,0.184,0.016,18.051,90.413
topo01,PQ-NTOR,LEO-GW (高带宽/低延迟),59.27,5.42,3.0,0.65,16.32,2.256,0.016,19.243,84.811
topo02,Classic NTOR,LEO-GW (高带宽/高延迟),16.55,5.42,3.0,2.49,32.76,0.184,0.033,35.467,92.368
topo02,PQ-NTOR,LEO-GW (高带宽/高延迟),16.55,5.42,3.0,1.0,32.76,2.256,0.033,36.049,90.876
topo03,Classic NTOR,LEO-GW (高带宽/高延迟/高丢包),25.19,2.72,1.0,2.5,32.76,0.184,0.655,36.099,90.749
topo03,PQ-NTOR,LEO-GW (高带宽/高延迟/高丢包),25.19,2.72,1.0,0.99,32.76,2.256,0.655,36.662,89.358
topo04,Classic NTOR,UAV-LEO (中带宽/低延迟),23.64,5.42,3.0,1.71,16.32,0.227,0.016,18.273,89.313
topo04,PQ-NTOR,UAV-LEO (中带宽/低延迟),23.64,5.42,3.0,0.64,16.32,2.776,0.016,19.752,82.625
topo05,Classic NTOR,UAV-LEO (中带宽/高延迟),25.19,5.43,3.0,2.49,32.76,0.227,0.033,35.509,92.257
topo05,PQ-NTOR,UAV-LEO (中带宽/高延迟),25.19,5.43,3.0,0.99,32.76,2.776,0.033,36.558,89.61
topo06,Classic NTOR,UAV-LEO (中带宽/高延迟/高丢包),22.91,5.42,1.0,2.49,32.76,0.227,0.655,36.132,90.668
topo06,PQ-NTOR,UAV-LEO (中带宽/高延迟/高丢包),22.91,5.42,1.0,0.98,32.76,2.776,0.655,37.171,88.134
topo07,Classic NTOR,恶劣条件,69.43,5.42,2.0,2.48,32.76,0.973,0.655,36.869,88.856
topo07,PQ-NTOR,恶劣条件,69.43,5.42,2.0,0.97,32.76,11.923,0.655,46.308,70.743
topo08,Classic NTOR,中等条件,38.01,5.43,2.0,1.53,16.32,0.411,0.016,18.277,89.291
topo08,PQ-NTOR,中等条件,38.01,5.43,2.0,0.66,16.32,5.033,0.016,22.03,74.081
topo09,Classic NTOR,中等延迟高丢包,29.84,2.72,0.5,1.54,16.32,0.411,0.326,18.597,87.755
topo09,PQ-NTOR,中等延迟高丢包,29.84,2.72,0.5,0.66,16.32,5.033,0.326,22.34,73.053
topo10,Classic NTOR,低带宽,18.64,5.42,2.0,1.37,16.32,1.628,0.016,19.334,84.411
topo10,PQ-NTOR,低带宽,18.64,5.42,2.0,0.55,16.32,19.938,0.016,36.824,44.318
topo11,Classic NTOR,低带宽高丢包,9.67,5.43,2.0,1.38,16.32,1.628,0.326,19.654,83.037
topo11,PQ-NTOR,低带宽高丢包,9.67,5.43,2.0,0.55,16.32,19.938,0.326,37.135,43.948
topo12,Classic NTOR,最恶劣条件,8.73,5.43,2.0,1.37,32.76,1.628,0.655,36.413,89.968
topo12,PQ-NTOR,最恶劣条件,8.73,5.43,2.0,0.55,32.76,19.938,0.655,53.903,60.775
