Topology,Protocol,Mean_ms,Median_ms,Min_ms,Max_ms,StdDev_ms,P95_ms,P99_ms,CI_Lower,CI_Upper
topo01,Classic NTOR,0.32,0.31,0.29,0.49,0.04,0.49,0.49,0.30,0.34
topo01,PQ-NTOR,0.19,0.19,0.16,0.32,0.03,0.32,0.32,0.18,0.21
topo02,Classic NTOR,0.30,0.29,0.27,0.50,0.05,0.50,0.50,0.28,0.32
topo02,PQ-NTOR,0.19,0.19,0.16,0.33,0.04,0.33,0.33,0.18,0.21
topo03,Classic NTOR,0.30,0.29,0.28,0.36,0.02,0.36,0.36,0.29,0.31
topo03,PQ-NTOR,0.19,0.17,0.16,0.31,0.04,0.31,0.31,0.17,0.21
topo04,Classic NTOR,0.31,0.30,0.27,0.45,0.04,0.45,0.45,0.29,0.32
topo04,PQ-NTOR,0.18,0.18,0.15,0.21,0.02,0.21,0.21,0.17,0.19
topo05,Classic NTOR,0.32,0.31,0.28,0.53,0.05,0.53,0.53,0.30,0.34
topo05,PQ-NTOR,0.19,0.18,0.16,0.33,0.03,0.33,0.33,0.17,0.21
topo06,Classic NTOR,0.33,0.33,0.30,0.40,0.03,0.40,0.40,0.32,0.35
topo06,PQ-NTOR,0.19,0.18,0.16,0.28,0.03,0.28,0.28,0.18,0.20
topo07,Classic NTOR,0.36,0.35,0.31,0.51,0.04,0.51,0.51,0.34,0.38
topo07,PQ-NTOR,0.29,0.26,0.21,0.74,0.12,0.74,0.74,0.24,0.34
topo08,Classic NTOR,0.36,0.36,0.31,0.48,0.05,0.48,0.48,0.34,0.38
topo08,PQ-NTOR,0.21,0.20,0.17,0.35,0.04,0.35,0.35,0.19,0.22
topo09,Classic NTOR,0.30,0.29,0.28,0.32,0.01,0.32,0.32,0.29,0.30
topo09,PQ-NTOR,0.19,0.18,0.14,0.27,0.03,0.27,0.27,0.17,0.20
topo10,Classic NTOR,0.31,0.30,0.29,0.42,0.03,0.42,0.42,0.30,0.32
topo10,PQ-NTOR,0.19,0.18,0.16,0.22,0.02,0.22,0.22,0.18,0.19
topo11,Classic NTOR,0.32,0.31,0.28,0.51,0.05,0.51,0.51,0.30,0.34
topo11,PQ-NTOR,0.20,0.18,0.16,0.30,0.04,0.30,0.30,0.18,0.21
topo12,Classic NTOR,0.30,0.30,0.27,0.35,0.02,0.35,0.35,0.29,0.31
topo12,PQ-NTOR,0.19,0.18,0.16,0.27,0.02,0.27,0.27,0.17,0.20
