Topology,Protocol,Description,Bandwidth_Mbps,Link_Delay_ms,Loss_Percent,Crypto_CBT_ms,Network_Delay_ms,Transmission_Delay_ms,Retransmission_Delay_ms,Total_CBT_ms,Network_Ratio
topo01,Classic NTOR,LEO-GW (高带宽/低延迟),31.810,2.720,0.100,0.300,16.320,0.184,0.016,16.821,97.024
topo01,PQ-NTOR,LEO-GW (高带宽/低延迟),31.810,2.720,0.100,0.230,16.320,2.256,0.016,18.823,86.704
topo02,Classic NTOR,LEO-GW (高带宽/高延迟),31.810,5.460,0.100,0.330,32.760,0.184,0.033,33.307,98.358
topo02,PQ-NTOR,LEO-GW (高带宽/高延迟),31.810,5.460,0.100,0.210,32.760,2.256,0.033,35.259,92.912
topo03,Classic NTOR,LEO-GW (高带宽/高延迟/高丢包),31.810,5.460,2.000,0.300,32.760,0.184,0.655,33.899,96.639
topo03,PQ-NTOR,LEO-GW (高带宽/高延迟/高丢包),31.810,5.460,2.000,0.190,32.760,2.256,0.655,35.862,91.351
topo04,Classic NTOR,UAV-LEO (中带宽/低延迟),25.860,2.720,0.100,0.320,16.320,0.227,0.016,16.883,96.666
topo04,PQ-NTOR,UAV-LEO (中带宽/低延迟),25.860,2.720,0.100,0.190,16.320,2.776,0.016,19.302,84.551
topo05,Classic NTOR,UAV-LEO (中带宽/高延迟),25.860,5.460,0.100,0.320,32.760,0.227,0.033,33.339,98.262
topo05,PQ-NTOR,UAV-LEO (中带宽/高延迟),25.860,5.460,0.100,0.190,32.760,2.776,0.033,35.758,91.615
topo06,Classic NTOR,UAV-LEO (中带宽/高延迟/高丢包),25.860,5.460,2.000,0.360,32.760,0.227,0.655,34.002,96.348
topo06,PQ-NTOR,UAV-LEO (中带宽/高延迟/高丢包),25.860,5.460,2.000,0.230,32.760,2.776,0.655,36.421,89.949
topo07,Classic NTOR,恶劣条件,6.020,5.460,2.000,0.300,32.760,0.973,0.655,34.689,94.440
topo07,PQ-NTOR,恶劣条件,6.020,5.460,2.000,0.190,32.760,11.923,0.655,45.528,71.955
topo08,Classic NTOR,中等条件,14.260,2.720,0.100,0.300,16.320,0.411,0.016,17.047,95.734
topo08,PQ-NTOR,中等条件,14.260,2.720,0.100,0.180,16.320,5.033,0.016,21.550,75.732
topo09,Classic NTOR,中等延迟高丢包,14.260,2.720,2.000,0.300,16.320,0.411,0.326,17.357,94.024
topo09,PQ-NTOR,中等延迟高丢包,14.260,2.720,2.000,0.200,16.320,5.033,0.326,21.880,74.589
topo10,Classic NTOR,低带宽,3.600,2.720,0.100,0.320,16.320,1.628,0.016,18.284,89.259
topo10,PQ-NTOR,低带宽,3.600,2.720,0.100,0.190,16.320,19.938,0.016,36.464,44.756
topo11,Classic NTOR,低带宽高丢包,3.600,2.720,2.000,0.330,16.320,1.628,0.326,18.604,87.723
topo11,PQ-NTOR,低带宽高丢包,3.600,2.720,2.000,0.200,16.320,19.938,0.326,36.785,44.366
topo12,Classic NTOR,最恶劣条件,3.600,5.460,2.000,0.340,32.760,1.628,0.655,35.383,92.587
topo12,PQ-NTOR,最恶劣条件,3.600,5.460,2.000,0.190,32.760,19.938,0.655,53.543,61.184
