Topology,Rate(Mbps),Delay(ms),Loss(%),Mean(µs),Median(µs),StdDev(µs),Min(µs),Max(µs),P95(µs),P99(µs)
topo01,31.81,5.42,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
topo02,8.77,5.44,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
topo03,20.53,2.73,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
topo04,29.21,5.42,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
topo05,23.03,5.43,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
topo06,29.21,5.42,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
topo07,14.08,5.44,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
topo08,8.77,5.46,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
topo09,8.77,2.72,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
topo10,8.77,5.44,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
topo11,3.60,5.44,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
topo12,8.77,5.44,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
