Topology,Protocol,Mean_ms,Median_ms,Min_ms,Max_ms,StdDev_ms,P95_ms,P99_ms,CI_Lower,CI_Upper
topo01,Classic NTOR,0.30,0.30,0.27,0.32,0.01,0.32,0.32,0.29,0.30
topo01,PQ-NTOR,0.23,0.19,0.16,0.38,0.08,0.38,0.38,0.20,0.27
topo02,Classic NTOR,0.33,0.32,0.30,0.49,0.05,0.49,0.49,0.31,0.35
topo02,PQ-NTOR,0.21,0.19,0.16,0.43,0.06,0.43,0.43,0.18,0.24
topo03,Classic NTOR,0.30,0.30,0.27,0.34,0.01,0.34,0.34,0.29,0.30
topo03,PQ-NTOR,0.19,0.18,0.15,0.28,0.04,0.28,0.28,0.18,0.21
topo04,Classic NTOR,0.32,0.30,0.28,0.52,0.06,0.52,0.52,0.29,0.34
topo04,PQ-NTOR,0.19,0.18,0.16,0.27,0.03,0.27,0.27,0.18,0.20
topo05,Classic NTOR,0.32,0.31,0.29,0.37,0.02,0.37,0.37,0.31,0.33
topo05,PQ-NTOR,0.19,0.18,0.16,0.29,0.03,0.29,0.29,0.18,0.20
topo06,Classic NTOR,0.36,0.35,0.32,0.56,0.05,0.56,0.56,0.34,0.39
topo06,PQ-NTOR,0.23,0.21,0.18,0.41,0.06,0.41,0.41,0.20,0.25
topo07,Classic NTOR,0.30,0.30,0.29,0.33,0.01,0.33,0.33,0.30,0.31
topo07,PQ-NTOR,0.19,0.18,0.16,0.27,0.03,0.27,0.27,0.18,0.20
topo08,Classic NTOR,0.30,0.29,0.28,0.33,0.01,0.33,0.33,0.29,0.30
topo08,PQ-NTOR,0.18,0.17,0.15,0.28,0.03,0.28,0.28,0.17,0.19
topo09,Classic NTOR,0.30,0.30,0.29,0.32,0.01,0.32,0.32,0.29,0.30
topo09,PQ-NTOR,0.20,0.19,0.15,0.30,0.04,0.30,0.30,0.18,0.22
topo10,Classic NTOR,0.32,0.32,0.29,0.35,0.01,0.35,0.35,0.32,0.33
topo10,PQ-NTOR,0.19,0.19,0.16,0.24,0.02,0.24,0.24,0.19,0.20
topo11,Classic NTOR,0.33,0.32,0.28,0.49,0.04,0.49,0.49,0.31,0.35
topo11,PQ-NTOR,0.20,0.19,0.16,0.33,0.04,0.33,0.33,0.18,0.21
topo12,Classic NTOR,0.34,0.34,0.29,0.39,0.03,0.39,0.39,0.32,0.35
topo12,PQ-NTOR,0.19,0.19,0.16,0.22,0.02,0.22,0.22,0.18,0.19
