Topology,Protocol,Description,Bandwidth_Mbps,Link_Delay_ms,Loss_Percent,Crypto_CBT_ms,Network_Delay_ms,Transmission_Delay_ms,Retransmission_Delay_ms,Total_CBT_ms,Network_Ratio
topo01,Classic NTOR,Z1 Up - 直连NOMA,59.27,2.71,3.0,0.087,16.26,0.034,0.488,16.869,96.392
topo01,PQ-NTOR,Z1 Up - 直连NOMA,59.27,2.71,3.0,0.037,16.26,0.596,0.488,17.381,93.551
topo02,Classic NTOR,Z1 Up - T协作接入,16.55,2.71,3.0,0.087,16.26,0.122,0.488,16.956,95.893
topo02,PQ-NTOR,Z1 Up - T协作接入,16.55,2.71,3.0,0.037,16.26,2.135,0.488,18.919,85.943
topo03,Classic NTOR,Z1 Up - 双跳直连,25.19,2.71,1.0,0.087,16.26,0.08,0.163,16.589,98.014
topo03,PQ-NTOR,Z1 Up - 双跳直连,25.19,2.71,1.0,0.037,16.26,1.402,0.163,17.862,91.031
topo04,Classic NTOR,Z1 Up - T协作双跳,23.64,2.71,3.0,0.087,16.26,0.085,0.488,16.92,96.1
topo04,PQ-NTOR,Z1 Up - T协作双跳,23.64,2.71,3.0,0.037,16.26,1.494,0.488,18.279,88.953
topo05,Classic NTOR,Z1 Up - 并行NOMA,25.19,2.71,3.0,0.087,16.26,0.08,0.488,16.915,96.13
topo05,PQ-NTOR,Z1 Up - 并行NOMA,25.19,2.71,3.0,0.037,16.26,1.402,0.488,18.187,89.403
topo06,Classic NTOR,Z1 Up - 并行协作,22.91,2.71,1.0,0.087,16.26,0.088,0.163,16.597,97.967
topo06,PQ-NTOR,Z1 Up - 并行协作,22.91,2.71,1.0,0.037,16.26,1.542,0.163,18.002,90.325
topo07,Classic NTOR,Z1 Down - 直连NOMA,69.43,2.71,2.0,0.087,16.26,0.029,0.325,16.701,97.359
topo07,PQ-NTOR,Z1 Down - 直连NOMA,69.43,2.71,2.0,0.037,16.26,0.509,0.325,17.131,94.915
topo08,Classic NTOR,Z1 Down - T协作接入,38.01,2.71,2.0,0.087,16.26,0.053,0.325,16.725,97.219
topo08,PQ-NTOR,Z1 Down - T协作接入,38.01,2.71,2.0,0.037,16.26,0.929,0.325,17.552,92.641
topo09,Classic NTOR,Z1 Down - 双跳直连,29.84,2.71,0.5,0.087,16.26,0.068,0.081,16.496,98.571
topo09,PQ-NTOR,Z1 Down - 双跳直连,29.84,2.71,0.5,0.037,16.26,1.184,0.081,17.562,92.585
topo10,Classic NTOR,Z1 Down - T协作双跳,18.64,2.71,2.0,0.087,16.26,0.108,0.325,16.78,96.9
topo10,PQ-NTOR,Z1 Down - T协作双跳,18.64,2.71,2.0,0.037,16.26,1.895,0.325,18.518,87.809
topo11,Classic NTOR,Z1 Down - 并行NOMA,9.67,2.71,2.0,0.087,16.26,0.208,0.325,16.88,96.324
topo11,PQ-NTOR,Z1 Down - 并行NOMA,9.67,2.71,2.0,0.037,16.26,3.653,0.325,20.276,80.195
topo12,Classic NTOR,Z1 Down - 并行协作,8.73,2.71,2.0,0.087,16.26,0.231,0.325,16.903,96.196
topo12,PQ-NTOR,Z1 Down - 并行协作,8.73,2.71,2.0,0.037,16.26,4.047,0.325,20.669,78.669
