Topology,Protocol,Description,Bandwidth_Mbps,Link_Delay_ms,Loss_Percent,Crypto_CBT_ms,Network_Delay_ms,Transmission_Delay_ms,Retransmission_Delay_ms,Total_CBT_ms,Network_Ratio
topo01,Classic NTOR,Z1 Up - 直连NOMA,59.27,5.42,3.0,0.087,32.52,0.034,0.976,33.616,96.738
topo01,PQ-NTOR,Z1 Up - 直连NOMA,59.27,5.42,3.0,0.037,32.52,0.596,0.976,34.129,95.286
topo02,Classic NTOR,Z1 Up - T协作接入,16.55,5.42,3.0,0.087,32.52,0.122,0.976,33.704,96.486
topo02,PQ-NTOR,Z1 Up - T协作接入,16.55,5.42,3.0,0.037,32.52,2.135,0.976,35.667,91.176
topo03,Classic NTOR,Z1 Up - 双跳直连,25.19,2.72,1.0,0.087,16.32,0.08,0.163,16.65,98.018
topo03,PQ-NTOR,Z1 Up - 双跳直连,25.19,2.72,1.0,0.037,16.32,1.402,0.163,17.923,91.058
topo04,Classic NTOR,Z1 Up - T协作双跳,23.64,5.42,3.0,0.087,32.52,0.085,0.976,33.668,96.591
topo04,PQ-NTOR,Z1 Up - T协作双跳,23.64,5.42,3.0,0.037,32.52,1.494,0.976,35.027,92.842
topo05,Classic NTOR,Z1 Up - 并行NOMA,25.19,5.43,3.0,0.087,32.58,0.08,0.977,33.724,96.607
topo05,PQ-NTOR,Z1 Up - 并行NOMA,25.19,5.43,3.0,0.037,32.58,1.402,0.977,34.997,93.094
topo06,Classic NTOR,Z1 Up - 并行协作,22.91,5.42,1.0,0.087,32.52,0.088,0.325,33.02,98.486
topo06,PQ-NTOR,Z1 Up - 并行协作,22.91,5.42,1.0,0.037,32.52,1.542,0.325,34.424,94.468
topo07,Classic NTOR,Z1 Down - 直连NOMA,69.43,5.42,2.0,0.087,32.52,0.029,0.65,33.286,97.698
topo07,PQ-NTOR,Z1 Down - 直连NOMA,69.43,5.42,2.0,0.037,32.52,0.509,0.65,33.716,96.452
topo08,Classic NTOR,Z1 Down - T协作接入,38.01,5.43,2.0,0.087,32.58,0.053,0.652,33.371,97.628
topo08,PQ-NTOR,Z1 Down - T协作接入,38.01,5.43,2.0,0.037,32.58,0.929,0.652,34.198,95.268
topo09,Classic NTOR,Z1 Down - 双跳直连,29.84,2.72,0.5,0.087,16.32,0.068,0.082,16.556,98.575
topo09,PQ-NTOR,Z1 Down - 双跳直连,29.84,2.72,0.5,0.037,16.32,1.184,0.082,17.623,92.609
topo10,Classic NTOR,Z1 Down - T协作双跳,18.64,5.42,2.0,0.087,32.52,0.108,0.65,33.365,97.466
topo10,PQ-NTOR,Z1 Down - T协作双跳,18.64,5.42,2.0,0.037,32.52,1.895,0.65,35.103,92.642
topo11,Classic NTOR,Z1 Down - 并行NOMA,9.67,5.43,2.0,0.087,32.58,0.208,0.652,33.527,97.176
topo11,PQ-NTOR,Z1 Down - 并行NOMA,9.67,5.43,2.0,0.037,32.58,3.653,0.652,36.922,88.24
topo12,Classic NTOR,Z1 Down - 并行协作,8.73,5.43,2.0,0.087,32.58,0.231,0.652,33.549,97.111
topo12,PQ-NTOR,Z1 Down - 并行协作,8.73,5.43,2.0,0.037,32.58,4.047,0.652,37.315,87.31
