ID,Topology,Setup Time (ms),Std Dev (ms),PQ Overhead (%),Success Rate (%)
1,Z1-Up1,53314.59,1315.73,0.00,100.0
2,Z1-Up2,52792.53,1638.93,0.00,100.0
3,Z2-Up,50899.34,237.65,0.00,100.0
4,Z3-Up,51726.57,214.43,0.00,100.0
5,Z5-Up,55376.82,6091.52,0.00,100.0
6,Z6-Up,53797.48,3414.14,0.00,100.0
7,Z1-Down,53262.43,1198.98,0.00,100.0
8,Z2-Down,55581.18,7275.66,0.00,100.0
9,Z3-Down,55071.91,1025.76,0.00,100.0
10,Z4-Down,54800.03,4712.31,0.00,100.0
11,Z5-Down,55826.17,4746.23,0.00,100.0
12,Z6-Down,53984.17,1104.56,0.00,100.0
