topology_id,topology_name,run_id,protocol,start_time,end_time,duration_s,success,exit_code,satellite_delay_ms,satellite_distance_km
1,"Z1 Up-1 (Direct Uplink)",1,PQ-NTOR,1763711435.4233282,1763711487.2076561,51.7843279838562,true,0,9.22,2764.6
1,"Z1 Up-1 (Direct Uplink)",2,PQ-NTOR,1763711494.978513,1763711547.2002046,52.221691608428955,true,0,9.09,2725.7
1,"Z1 Up-1 (Direct Uplink)",3,PQ-NTOR,1763711554.9277046,1763711606.7321556,51.80445098876953,true,0,8.97,2687.8
1,"Z1 Up-1 (Direct Uplink)",4,PQ-NTOR,1763711614.3786492,1763711666.8226128,52.44396352767944,true,0,8.84,2650.8
1,"Z1 Up-1 (Direct Uplink)",5,PQ-NTOR,1763711674.4659064,1763711726.9677703,52.501863956451416,true,0,8.72,2614.9
1,"Z1 Up-1 (Direct Uplink)",6,PQ-NTOR,1763711734.6119025,1763711786.8292356,52.2173330783844,true,0,8.61,2580.1
1,"Z1 Up-1 (Direct Uplink)",7,PQ-NTOR,1763711794.4761634,1763711847.3392375,52.86307406425476,true,0,8.49,2546.3
1,"Z1 Up-1 (Direct Uplink)",8,PQ-NTOR,1763711854.9869854,1763711906.8982825,51.911297082901,true,0,8.39,2513.8
1,"Z1 Up-1 (Direct Uplink)",9,PQ-NTOR,1763711914.5220425,1763711966.3903055,51.86826300621033,true,0,8.28,2482.5
1,"Z1 Up-1 (Direct Uplink)",10,PQ-NTOR,1763711974.0106273,1763712025.85881,51.848182678222656,true,0,8.18,2452.4
2,"Z1 Up-2 (Single UAV Uplink)",1,PQ-NTOR,1763712033.5467253,1763712085.64058,52.093854665756226,true,0,9.22,2764.6
2,"Z1 Up-2 (Single UAV Uplink)",2,PQ-NTOR,1763712093.208886,1763712145.1741168,51.96523094177246,true,0,9.09,2725.7
2,"Z1 Up-2 (Single UAV Uplink)",3,PQ-NTOR,1763712153.0218322,1763712204.672757,51.65092468261719,true,0,8.97,2687.8
2,"Z1 Up-2 (Single UAV Uplink)",4,PQ-NTOR,1763712212.6197603,1763712264.4375126,51.81775236129761,true,0,8.84,2650.8
2,"Z1 Up-2 (Single UAV Uplink)",5,PQ-NTOR,1763712272.044363,1763712323.677635,51.63327193260193,true,0,8.72,2614.9
2,"Z1 Up-2 (Single UAV Uplink)",6,PQ-NTOR,1763712331.464034,1763712383.4401786,51.976144552230835,true,0,8.61,2580.1
2,"Z1 Up-2 (Single UAV Uplink)",7,PQ-NTOR,1763712391.1694868,1763712442.999421,51.82993412017822,true,0,8.49,2546.3
2,"Z1 Up-2 (Single UAV Uplink)",8,PQ-NTOR,1763712450.617964,1763712502.723489,52.10552501678467,true,0,8.39,2513.8
2,"Z1 Up-2 (Single UAV Uplink)",9,PQ-NTOR,1763712510.4229922,1763712562.210643,51.78765082359314,true,0,8.28,2482.5
2,"Z1 Up-2 (Single UAV Uplink)",10,PQ-NTOR,1763712569.847246,1763712621.4474578,51.60021185874939,true,0,8.18,2452.4
