Topology,Protocol,Mean_ms,Median_ms,Min_ms,Max_ms,StdDev_ms,P95_ms,P99_ms,CI_Lower,CI_Upper
topo01,Classic NTOR,0.374,0.321,0.231,0.686,0.142,0.686,0.686,0.312,0.436
topo01,PQ-NTOR,0.190,0.181,0.124,0.352,0.059,0.352,0.352,0.164,0.216
topo01,Hybrid NTOR,0.955,0.950,0.584,1.489,0.285,1.489,1.489,0.831,1.080
topo02,Classic NTOR,0.282,0.264,0.233,0.587,0.076,0.587,0.587,0.249,0.315
topo02,PQ-NTOR,0.170,0.160,0.128,0.345,0.045,0.345,0.345,0.150,0.190
topo02,Hybrid NTOR,0.662,0.629,0.570,1.164,0.123,1.164,1.164,0.609,0.716
topo03,Classic NTOR,0.273,0.252,0.226,0.588,0.076,0.588,0.588,0.239,0.306
topo03,PQ-NTOR,0.171,0.168,0.114,0.291,0.035,0.291,0.291,0.156,0.186
topo03,Hybrid NTOR,0.616,0.621,0.568,0.680,0.026,0.680,0.680,0.605,0.628
topo04,Classic NTOR,0.267,0.259,0.229,0.385,0.034,0.385,0.385,0.252,0.282
topo04,PQ-NTOR,0.181,0.178,0.114,0.266,0.049,0.266,0.266,0.159,0.202
topo04,Hybrid NTOR,0.634,0.636,0.569,0.734,0.047,0.734,0.734,0.613,0.654
topo05,Classic NTOR,0.256,0.253,0.237,0.307,0.017,0.307,0.307,0.248,0.263
topo05,PQ-NTOR,0.141,0.143,0.112,0.165,0.014,0.165,0.165,0.134,0.147
topo05,Hybrid NTOR,0.684,0.628,0.577,1.087,0.132,1.087,1.087,0.626,0.741
topo06,Classic NTOR,0.258,0.250,0.234,0.393,0.034,0.393,0.393,0.243,0.273
topo06,PQ-NTOR,0.157,0.156,0.133,0.192,0.012,0.192,0.192,0.152,0.162
topo06,Hybrid NTOR,0.620,0.627,0.576,0.653,0.022,0.653,0.653,0.611,0.630
topo07,Classic NTOR,0.308,0.265,0.227,0.751,0.128,0.751,0.751,0.252,0.364
topo07,PQ-NTOR,0.147,0.145,0.108,0.211,0.021,0.211,0.211,0.138,0.156
topo07,Hybrid NTOR,0.627,0.607,0.556,0.844,0.060,0.844,0.844,0.601,0.653
topo08,Classic NTOR,0.257,0.260,0.238,0.280,0.012,0.280,0.280,0.252,0.262
topo08,PQ-NTOR,0.170,0.162,0.123,0.274,0.039,0.274,0.274,0.153,0.187
topo08,Hybrid NTOR,0.647,0.618,0.566,0.906,0.079,0.906,0.906,0.613,0.682
topo09,Classic NTOR,0.262,0.264,0.236,0.295,0.016,0.295,0.295,0.255,0.269
topo09,PQ-NTOR,0.168,0.153,0.132,0.328,0.047,0.328,0.328,0.148,0.189
topo09,Hybrid NTOR,0.651,0.634,0.581,0.837,0.067,0.837,0.837,0.622,0.680
topo10,Classic NTOR,0.291,0.280,0.240,0.430,0.047,0.430,0.430,0.271,0.312
topo10,PQ-NTOR,0.150,0.149,0.121,0.187,0.014,0.187,0.187,0.144,0.156
topo10,Hybrid NTOR,0.631,0.611,0.576,0.928,0.075,0.928,0.928,0.598,0.664
topo11,Classic NTOR,0.259,0.259,0.232,0.295,0.016,0.295,0.295,0.252,0.266
topo11,PQ-NTOR,0.139,0.141,0.108,0.164,0.016,0.164,0.164,0.132,0.146
topo11,Hybrid NTOR,0.710,0.640,0.574,1.416,0.203,1.416,1.416,0.622,0.799
topo12,Classic NTOR,0.261,0.258,0.245,0.310,0.015,0.310,0.310,0.255,0.268
topo12,PQ-NTOR,0.144,0.146,0.111,0.162,0.013,0.162,0.162,0.139,0.150
topo12,Hybrid NTOR,0.656,0.643,0.590,0.868,0.061,0.868,0.868,0.629,0.683
