Topology,Protocol,Description,Bandwidth_Mbps,Link_Delay_ms,Loss_Percent,Crypto_CBT_ms,Network_Delay_ms,Transmission_Delay_ms,Retransmission_Delay_ms,Total_CBT_ms,Network_Ratio
topo01,Classic NTOR,Z1 Up - 直连NOMA,123.89,2.71,5.0,0.374,16.259999999999998,1.162,1.626,19.422,83.72
topo01,PQ-NTOR,Z1 Up - 直连NOMA,123.89,2.71,5.0,0.19,16.259999999999998,1.162,1.626,19.238,84.52
topo01,Hybrid NTOR,Z1 Up - 直连NOMA,123.89,2.71,5.0,0.955,16.259999999999998,1.162,1.626,20.003,81.29
topo02,Classic NTOR,Z2 Up - T协作接入,59.73,2.72,5.0,0.282,16.32,2.411,1.632,20.645,79.05
topo02,PQ-NTOR,Z2 Up - T协作接入,59.73,2.72,5.0,0.17,16.32,2.411,1.632,20.533,79.48
topo02,Hybrid NTOR,Z2 Up - T协作接入,59.73,2.72,5.0,0.662,16.32,2.411,1.632,21.025,77.62
topo03,Classic NTOR,Z3 Up - T用户协作NOMA,102.76,2.71,2.0,0.273,16.259999999999998,1.401,0.65,18.584,87.49
topo03,PQ-NTOR,Z3 Up - T用户协作NOMA,102.76,2.71,2.0,0.171,16.259999999999998,1.401,0.65,18.482,87.98
topo03,Hybrid NTOR,Z3 Up - T用户协作NOMA,102.76,2.71,2.0,0.616,16.259999999999998,1.401,0.65,18.927,85.91
topo04,Classic NTOR,Z4 Up - 混合直连+协作,95.02,2.72,5.0,0.267,16.32,1.515,1.632,19.734,82.7
topo04,PQ-NTOR,Z4 Up - 混合直连+协作,95.02,2.72,5.0,0.181,16.32,1.515,1.632,19.648,83.06
topo04,Hybrid NTOR,Z4 Up - 混合直连+协作,95.02,2.72,5.0,0.634,16.32,1.515,1.632,20.101,81.19
topo05,Classic NTOR,Z5 Up - 多层树形结构,102.76,2.71,5.0,0.256,16.259999999999998,1.401,1.626,19.543,83.2
topo05,PQ-NTOR,Z5 Up - 多层树形结构,102.76,2.71,5.0,0.141,16.259999999999998,1.401,1.626,19.428,83.69
topo05,Hybrid NTOR,Z5 Up - 多层树形结构,102.76,2.71,5.0,0.684,16.259999999999998,1.401,1.626,19.971,81.42
topo06,Classic NTOR,Z6 Up - 双UAV中继+T,91.33,2.72,2.0,0.258,16.32,1.577,0.653,18.808,86.77
topo06,PQ-NTOR,Z6 Up - 双UAV中继+T,91.33,2.72,2.0,0.157,16.32,1.577,0.653,18.707,87.24
topo06,Hybrid NTOR,Z6 Up - 双UAV中继+T,91.33,2.72,2.0,0.62,16.32,1.577,0.653,19.17,85.13
topo07,Classic NTOR,Z1 Down - 直连NOMA+协作,192.18,2.71,3.0,0.308,16.259999999999998,0.749,0.976,18.293,88.89
topo07,PQ-NTOR,Z1 Down - 直连NOMA+协作,192.18,2.71,3.0,0.147,16.259999999999998,0.749,0.976,18.132,89.68
topo07,Hybrid NTOR,Z1 Down - 直连NOMA+协作,192.18,2.71,3.0,0.627,16.259999999999998,0.749,0.976,18.612,87.36
topo08,Classic NTOR,Z2 Down - T协作接入+协作,177.95,2.71,3.0,0.257,16.259999999999998,0.809,0.976,18.302,88.84
topo08,PQ-NTOR,Z2 Down - T协作接入+协作,177.95,2.71,3.0,0.17,16.259999999999998,0.809,0.976,18.215,89.27
topo08,Hybrid NTOR,Z2 Down - T协作接入+协作,177.95,2.71,3.0,0.647,16.259999999999998,0.809,0.976,18.692,86.99
topo09,Classic NTOR,Z3 Down - T用户协作下行,125.97,2.71,1.0,0.262,16.259999999999998,1.143,0.325,17.99,90.38
topo09,PQ-NTOR,Z3 Down - T用户协作下行,125.97,2.71,1.0,0.168,16.259999999999998,1.143,0.325,17.896,90.86
topo09,Hybrid NTOR,Z3 Down - T用户协作下行,125.97,2.71,1.0,0.651,16.259999999999998,1.143,0.325,18.379,88.47
topo10,Classic NTOR,Z4 Down - 混合直连+协作,118.22,2.72,3.0,0.291,16.32,1.218,0.979,18.808,86.77
topo10,PQ-NTOR,Z4 Down - 混合直连+协作,118.22,2.72,3.0,0.15,16.32,1.218,0.979,18.667,87.43
topo10,Hybrid NTOR,Z4 Down - 混合直连+协作,118.22,2.72,3.0,0.631,16.32,1.218,0.979,19.148,85.23
topo11,Classic NTOR,Z5 Down - NOMA接收+转发,27.04,2.71,3.0,0.259,16.259999999999998,5.325,0.976,22.82,71.25
topo11,PQ-NTOR,Z5 Down - NOMA接收+转发,27.04,2.71,3.0,0.139,16.259999999999998,5.325,0.976,22.7,71.63
topo11,Hybrid NTOR,Z5 Down - NOMA接收+转发,27.04,2.71,3.0,0.71,16.259999999999998,5.325,0.976,23.271,69.87
topo12,Classic NTOR,Z6 Down - 双中继NOMA+协作,22.98,2.72,3.0,0.261,16.32,6.266,0.979,23.826,68.5
topo12,PQ-NTOR,Z6 Down - 双中继NOMA+协作,22.98,2.72,3.0,0.144,16.32,6.266,0.979,23.709,68.83
topo12,Hybrid NTOR,Z6 Down - 双中继NOMA+协作,22.98,2.72,3.0,0.656,16.32,6.266,0.979,24.221,67.38
