实验平台,CPU架构,操作系统,操作类型,平均时间(μs),中位数(μs),最小值(μs),最大值(μs),标准差(μs),测试次数
WSL2,x86_64,Ubuntu 22.04,Client create onionskin,5.53,5.00,5.00,37.00,1.34,1000
WSL2,x86_64,Ubuntu 22.04,Server create reply,13.72,13.00,13.00,75.00,3.24,1000
WSL2,x86_64,Ubuntu 22.04,Client finish handshake,12.28,11.00,11.00,175.00,7.19,1000
WSL2,x86_64,Ubuntu 22.04,Full Handshake,31.00,30.00,29.00,86.00,3.90,1000
飞腾派,aarch64,Ubuntu 20.04.6,Client create onionskin,52.35,46.00,45.00,119.00,13.60,1000
飞腾派,aarch64,Ubuntu 20.04.6,Server create reply,70.39,70.00,70.00,85.00,1.11,1000
飞腾派,aarch64,Ubuntu 20.04.6,Client finish handshake,63.00,63.00,62.00,70.00,0.95,1000
飞腾派,aarch64,Ubuntu 20.04.6,Full Handshake,179.58,179.00,178.00,204.00,2.02,1000
论文(Pi5),ARM Cortex-A76,N/A,Keygen (理论),43.17,N/A,N/A,N/A,N/A,N/A
论文(Pi5),ARM Cortex-A76,N/A,Encaps (理论),52.14,N/A,N/A,N/A,N/A,N/A
论文(Pi5),ARM Cortex-A76,N/A,Decaps (理论),66.07,N/A,N/A,N/A,N/A,N/A
论文(Pi5),ARM Cortex-A76,N/A,Full Handshake (理论估算),161.38,N/A,N/A,N/A,N/A,N/A
